gender,tenure,PhoneService,TechSupport,StreamingTV,StreamingMovies,Churn,TotalCharges
Female,1,0,0,0,0,0,29.85
Male,34,1,0,0,0,0,1889.5
Male,2,1,0,0,0,1,108.15
Male,45,0,1,0,0,0,1840.75
Female,2,1,0,0,0,1,151.65
Female,8,1,0,1,1,1,820.5
Male,22,1,0,1,0,0,1949.4
Female,10,0,0,0,0,0,301.9
Female,28,1,1,1,1,1,3046.05
Male,62,1,0,0,0,0,3487.95
Male,13,1,0,0,0,0,587.45
Male,16,1,0,0,0,0,326.8
Male,58,1,0,1,1,0,5681.1
Male,49,1,0,1,1,1,5036.3
Male,25,1,1,1,1,0,2686.05
Female,69,1,1,1,1,0,7895.15
Female,52,1,0,0,0,0,1022.95
Male,71,1,0,1,1,0,7382.25
Female,10,1,1,0,0,1,528.35
Female,21,1,0,0,1,0,1862.9
Male,1,0,0,0,1,1,39.65
Male,12,1,0,0,0,0,202.25
Male,1,1,0,0,0,1,20.15
Female,58,1,1,0,0,0,3505.1
Male,49,1,1,0,0,0,2970.3
Female,30,1,0,0,0,0,1530.6
Male,47,1,0,1,1,1,4749.15
Male,1,0,0,0,0,1,30.2
Male,72,1,1,1,1,0,6369.45
Female,17,1,0,1,1,1,1093.1
Female,71,1,1,0,0,0,6766.95
Male,2,1,0,1,1,0,181.65
Female,27,1,1,0,0,0,1874.45
Male,1,1,0,0,0,0,20.2
Male,1,1,0,0,0,0,45.25
Female,72,1,1,1,0,0,7251.7
Male,5,1,0,0,0,1,316.9
Female,46,1,0,0,0,0,3548.3
Male,34,1,0,1,1,1,3549.25
Female,11,1,0,1,1,1,1105.4
Male,10,1,0,0,0,0,475.7
Female,70,1,0,1,0,0,4872.35
Female,17,1,0,0,0,0,418.25
Female,63,1,1,1,0,0,4861.45
Female,13,1,1,1,0,0,981.45
Female,49,1,0,0,1,0,3906.7
Male,2,1,0,0,0,0,97.0
Female,2,1,0,1,0,1,144.15
Male,52,1,1,1,1,0,4217.8
Female,69,1,1,0,0,0,4254.1
Female,43,1,0,1,0,0,3838.75
Female,15,1,0,1,1,1,1426.4
Female,25,1,1,1,0,0,1752.65
Female,8,1,0,0,0,1,633.3
Female,60,1,1,0,1,0,4456.35
Male,18,1,0,1,1,1,1752.55
Female,63,1,0,1,1,0,6311.2
Male,66,1,1,1,1,0,7076.35
Female,34,1,0,0,0,0,894.3
Female,72,1,1,1,1,0,7853.7
Female,47,1,0,1,1,0,4707.1
Male,60,1,0,1,0,0,5450.7
Male,72,0,0,0,0,0,2962.0
Female,18,1,1,0,0,0,957.1
Female,9,1,0,1,1,1,857.25
Female,3,1,1,1,1,0,244.1
Male,47,1,0,0,0,0,3650.35
Female,31,1,1,1,1,0,2497.2
Female,50,1,0,0,0,0,930.9
Male,10,1,0,0,0,0,887.35
Male,1,1,1,0,0,0,49.05
Female,52,1,0,0,0,0,1090.65
Male,64,1,1,1,1,0,7099.0
Male,62,1,0,0,0,0,1424.6
Female,3,1,1,0,1,0,177.4
Female,56,1,0,1,1,0,6139.5
Female,46,1,0,0,1,0,2688.85
Female,8,1,0,0,0,0,482.25
Male,30,1,0,1,1,0,2111.3
Female,45,1,0,0,0,0,1216.6
Female,1,1,0,1,0,1,79.35
Female,11,0,0,1,1,0,565.35
Female,7,1,0,0,0,1,496.9
Female,42,1,1,1,1,0,4327.5
Female,49,1,0,0,0,0,973.35
Male,9,1,0,1,1,0,918.75
Female,35,1,0,1,0,0,2215.45
Female,48,1,0,0,0,0,1057.0
Female,46,1,0,0,0,0,927.1
Male,29,0,0,1,0,0,1009.25
Male,30,1,0,0,0,0,2570.2
Male,1,1,1,0,0,0,74.7
Male,66,1,1,1,1,0,5714.25
Female,65,1,0,1,1,0,7107.0
Male,72,1,0,1,1,0,7459.05
Female,12,1,0,0,0,1,927.35
Male,71,1,1,0,0,0,4748.7
Male,5,1,0,0,0,1,113.85
Male,52,1,0,0,0,0,1107.2
Female,25,1,0,1,1,1,2514.5
Male,1,1,0,0,0,0,20.2
Female,1,1,0,0,0,0,19.45
Male,38,1,1,1,0,0,3605.6
Female,66,0,0,1,0,0,3027.25
Male,68,1,1,1,1,1,7611.85
Male,5,0,0,0,0,0,100.2
Female,72,1,0,1,1,0,7303.05
Female,32,0,0,0,0,0,927.65
Male,43,1,0,1,1,0,3921.3
Male,72,1,0,0,0,0,1363.25
Male,55,1,0,1,0,1,5238.9
Female,52,1,1,0,0,0,3042.25
Female,43,1,0,1,0,0,3954.1
Female,37,1,0,0,0,1,2868.15
Female,64,0,1,1,1,0,3423.5
Male,3,1,0,1,0,0,248.4
Female,36,0,0,0,0,0,1126.35
Female,10,1,0,1,1,1,1064.65
Female,41,1,0,0,0,0,835.15
Male,27,1,1,0,0,0,2151.6
