customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges,TotalCharges1
7590-VHVEG,Female,0,Yes,No,1,0,No phone service,DSL,No,Yes,No,0,0,0,Month-to-month,Yes,Electronic check,29.85,0,29.85,29.85
5575-GNVDE,Male,0,No,No,34,1,No,DSL,Yes,No,Yes,0,0,0,One year,No,Mailed check,56.95,0,1889.5,1889.5
3668-QPYBK,Male,0,No,No,2,1,No,DSL,Yes,Yes,No,0,0,0,Month-to-month,Yes,Mailed check,53.85,1,108.15,108.15
7795-CFOCW,Male,0,No,No,45,0,No phone service,DSL,Yes,No,Yes,1,0,0,One year,No,Bank transfer (automatic),42.3,0,1840.75,1840.75
9237-HQITU,Female,0,No,No,2,1,No,Fiber optic,No,No,No,0,0,0,Month-to-month,Yes,Electronic check,70.7,1,151.65,151.65
9305-CDSKC,Female,0,No,No,8,1,Yes,Fiber optic,No,No,Yes,0,1,1,Month-to-month,Yes,Electronic check,99.65,1,820.5,820.5
1452-KIOVK,Male,0,No,Yes,22,1,Yes,Fiber optic,No,Yes,No,0,1,0,Month-to-month,Yes,Credit card (automatic),89.1,0,1949.4,1949.4
6713-OKOMC,Female,0,No,No,10,0,No phone service,DSL,Yes,No,No,0,0,0,Month-to-month,No,Mailed check,29.75,0,301.9,301.9
7892-POOKP,Female,0,Yes,No,28,1,Yes,Fiber optic,No,No,Yes,1,1,1,Month-to-month,Yes,Electronic check,104.8,1,3046.05,3046.05
6388-TABGU,Male,0,No,Yes,62,1,No,DSL,Yes,Yes,No,0,0,0,One year,No,Bank transfer (automatic),56.15,0,3487.95,3487.95
9763-GRSKD,Male,0,Yes,Yes,13,1,No,DSL,Yes,No,No,0,0,0,Month-to-month,Yes,Mailed check,49.95,0,587.45,587.45
7469-LKBCI,Male,0,No,No,16,1,No,No,No internet service,No internet service,No internet service,0,0,0,Two year,No,Credit card (automatic),18.95,0,326.8,326.8
8091-TTVAX,Male,0,Yes,No,58,1,Yes,Fiber optic,No,No,Yes,0,1,1,One year,No,Credit card (automatic),100.35,0,5681.1,5681.1
0280-XJGEX,Male,0,No,No,49,1,Yes,Fiber optic,No,Yes,Yes,0,1,1,Month-to-month,Yes,Bank transfer (automatic),103.7,1,5036.3,5036.3
5129-JLPIS,Male,0,No,No,25,1,No,Fiber optic,Yes,No,Yes,1,1,1,Month-to-month,Yes,Electronic check,105.5,0,2686.05,2686.05
3655-SNQYZ,Female,0,Yes,Yes,69,1,Yes,Fiber optic,Yes,Yes,Yes,1,1,1,Two year,No,Credit card (automatic),113.25,0,7895.15,7895.15
8191-XWSZG,Female,0,No,No,52,1,No,No,No internet service,No internet service,No internet service,0,0,0,One year,No,Mailed check,20.65,0,1022.95,1022.95
9959-WOFKT,Male,0,No,Yes,71,1,Yes,Fiber optic,Yes,No,Yes,0,1,1,Two year,No,Bank transfer (automatic),106.7,0,7382.25,7382.25
4190-MFLUW,Female,0,Yes,Yes,10,1,No,DSL,No,No,Yes,1,0,0,Month-to-month,No,Credit card (automatic),55.2,1,528.35,528.35
4183-MYFRB,Female,0,No,No,21,1,No,Fiber optic,No,Yes,Yes,0,0,1,Month-to-month,Yes,Electronic check,90.05,0,1862.9,1862.9
8779-QRDMV,Male,1,No,No,1,0,No phone service,DSL,No,No,Yes,0,0,1,Month-to-month,Yes,Electronic check,39.65,1,39.65,39.65
